Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.0014025,0.206570435,-0.025596771,9.792636108
0.0113755,0.213306427,-0.033081207,9.817185059
0.0213485,0.218994598,-0.039966888,9.837393036
0.0313205,0.194894714,-0.020207977,9.764195251
0.0412935,0.242346039,-0.035925293,9.854008484
0.0512665,0.199535065,-0.029039612,9.785750427
0.0612385,0.191751251,-0.023800507,9.828411713
0.0712115,0.188009033,-0.03278183,9.827214203
0.0811845,0.228574677,-0.024099884,9.813592529
0.0911575,0.226179657,-0.02574646,9.842632141
0.1011295,0.208516388,-0.029788055,9.808652802
0.1111025,0.213905182,-0.027542725,9.826615448
0.1210755,0.187859344,-0.022602997,9.81239502
0.1310475,0.223934326,-0.014370117,9.82526825
0.1410205,0.22109024,-0.030087433,9.816286926
0.1509935,0.199085999,-0.015867004,9.812694397
0.1609665,0.212707672,-0.018411713,9.834698639
0.1709385,0.211210785,-0.01871109,9.818681946
0.1809115,0.204474792,-0.017663269,9.82526825
0.1908845,0.186362457,-0.013322296,9.790690155
0.2008565,0.198786621,-0.006735992,9.806108093
0.2108295,0.216150513,0.002993774,9.789342957
0.2208025,0.235909424,-0.011226654,9.807006226
0.2307755,0.209115143,-0.006735992,9.801467743
0.2407475,0.207468567,-0.003442841,9.793683929
0.2507205,0.202828217,-0.014819183,9.790839844
0.2606935,0.204624481,-0.019160156,9.787097626
0.2706655,0.222437439,-0.020806732,9.785600739
0.2806385,0.216898956,-0.006436615,9.788594513
0.2906115,0.217797089,-0.014669495,9.754016418
0.3005845,0.195792847,-0.022004242,9.752519531
0.3105565,0.196092224,-0.017663269,9.775721283
0.3205295,0.223634949,-0.015717316,9.749525757
0.3305025,0.225131836,-0.014968872,9.754914551
0.3404745,0.213905182,-0.006286926,9.770033112
0.3504475,0.201630707,-0.019459534,9.769134979
0.3604205,0.205223236,-0.019160156,9.748328247
0.3703935,0.23516098,-0.017663269,9.744136963
0.3803655,0.230071564,-0.017064514,9.750573578
0.3903385,0.211360474,-0.017663269,9.738149414
0.4003115,0.20941452,-0.021255798,9.734257507
0.4102845,0.211959229,-0.017812958,9.737700348
0.4202565,0.227526855,-0.019758911,9.726623383
0.4302295,0.233664093,-0.024249573,9.734107819
0.4402025,0.215402069,-0.023501129,9.741741943
0.4501745,0.206869812,-0.017812958,9.738748169
0.4601475,0.222736816,-0.021854553,9.735904083
0.4701205,0.219593353,-0.019459534,9.744885406
0.480093792,0.236957245,-0.01526825,9.745334473
0.490065792,0.216000824,-0.021704865,9.757608948
0.500038792,0.207767944,-0.030985565,9.760303345
0.510011792,0.233364716,-0.029488678,9.77841568
0.519983792,0.213905182,-0.023501129,9.777966614
0.529956792,0.214803314,-0.040116577,9.764045563
0.539929792,0.210162964,-0.037721558,9.759105835
0.549902792,0.214054871,-0.034278717,9.764195251
0.559874792,0.19190094,-0.047750702,9.771979065
0.569847792,0.188907166,-0.034877472,9.768536224
0.579820792,0.212258606,-0.049247589,9.780361633
0.589792792,0.229173431,-0.046403503,9.779912567
0.599765792,0.22932312,-0.036973114,9.786947937
0.609738792,0.209115143,-0.037571869,9.790390778
0.619711792,0.185913391,-0.035027161,9.782157898
0.629683792,0.187859344,-0.046104126,9.780960388
0.639656792,0.211210785,-0.027842102,9.778565369
0.649629792,0.186961212,-0.023950195,9.79248642
0.659601792,0.185314636,-0.035925293,9.791139221
0.669574792,0.179476776,-0.037571869,9.795779572
0.679547792,0.186961212,-0.025596771,9.794282684
0.689520792,0.178578644,-0.032033386,9.802066498
0.699492792,0.186212769,-0.02454895,9.795031128
0.709465792,0.168399811,-0.00464035,9.79128891
0.719438792,0.175734558,-0.019758911,9.805808716
0.729410792,0.194745026,-0.031284943,9.818382568
0.739383792,0.181871796,-0.013022919,9.806407471
0.749356792,0.171094208,-0.021405487,9.801916809
0.759329792,0.175135803,-0.013771362,9.804760895
0.769301792,0.166753235,-0.01287323,9.810598755
0.779274792,0.18726059,-0.013322296,9.803114319
0.789247792,0.191451874,-0.012424164,9.801168365
0.799219792,0.181273041,-0.010328522,9.813143463
0.809192792,0.173788605,-0.006137238,9.808054047
0.819165792,0.169447632,-0.009879456,9.80176712
0.829138792,0.192799072,-0.007484436,9.815538483
0.839110792,0.174237671,0.004490662,9.787546692
0.849083792,0.15911911,-0.003293152,9.775272217
0.859056792,0.182919617,-0.002095642,9.772877197
0.869028792,0.182769928,-0.006137238,9.783654785
0.879001792,0.185614014,0.001496887,9.785301361
0.888974792,0.174537048,-0.004939728,9.795180817
0.898946792,0.185015259,-0.010328522,9.785600739
0.908919792,0.195792847,-0.002844086,9.74563385
0.918892792,0.203726349,-0.003293152,9.748927002
0.928865792,0.196241913,-0.015417938,9.739646301
0.938837792,0.173339539,-0.021255798,9.744735718
0.948810792,0.162412262,0,9.761500854
0.958783792,0.175734558,-0.003293152,9.763746185
0.968756792,0.186661835,0.004790039,9.776619415
0.978728792,0.192948761,-0.012124786,9.775421906
0.988701792,0.18726059,-0.028291168,9.757608948
0.998674792,0.202229462,-0.013322296,9.747130737
1.008646792,0.202977905,-0.01526825,9.747130737
1.018619792,0.207618256,-0.022602997,9.739646301
1.028592792,0.213905182,-0.02574646,9.733209686
1.038564792,0.191601563,-0.026494904,9.746531982
1.048537792,0.177231445,-0.016465759,9.737850037
1.058510792,0.191751251,-0.029189301,9.746082916
1.068483792,0.19309845,-0.028141479,9.74563385
1.078455792,0.206121368,-0.023201752,9.744586029
1.088428792,0.213905182,-0.029937744,9.73740097
1.098401792,0.23171814,-0.027842102,9.739047546
1.108373792,0.207618256,-0.032482452,9.737101593
1.118346792,0.219892731,-0.046702881,9.733658752
1.128319792,0.210312653,-0.049247589,9.753717041
1.138292792,0.190254364,-0.044307861,9.759854279
1.148264792,0.177680511,-0.045505371,9.752519531
1.158237792,0.188607788,-0.030237122,9.755662994
1.168210792,0.201331329,-0.03622467,9.761051788
1.178182792,0.212707672,-0.033380585,9.756261749
1.188155792,0.22109024,-0.047900391,9.74563385
1.198128792,0.218395844,-0.030985565,9.749226379
1.208101792,0.221838684,-0.04445755,9.749076691
1.218073792,0.202079773,-0.040116577,9.742789764
1.228046792,0.192649384,-0.035476227,9.763746185
1.238019792,0.202229462,-0.03158432,9.762398987
1.247991792,0.209264832,-0.042361908,9.772128754
1.257964792,0.185913391,-0.036673737,9.781559143
1.267937792,0.17199234,-0.050594788,9.776469727
1.277910792,0.191601563,-0.036973114,9.79473175
1.287882792,0.195792847,-0.038470001,9.783954163
1.297855792,0.209863586,-0.026794281,9.777667236
1.307828792,0.194894714,-0.015417938,9.796977081
1.317800792,0.178728333,-0.023950195,9.797426147
1.327773792,0.188009033,-0.029638367,9.780661011
1.337746792,0.178878021,-0.026045837,9.797276459
1.347719792,0.19654129,-0.007933502,9.793085175
1.357691792,0.191152496,-0.007484436,9.794132996
1.367664792,0.186661835,-0.020956421,9.796078949
1.377637792,0.180374908,-0.016016693,9.798623657
1.387609792,0.182171173,-0.016016693,9.793384552
1.397582792,0.190254364,-0.005089417,9.792785797
1.407555792,0.205223236,-0.007783813,9.818382568
1.417527792,0.199684753,-0.004340973,9.805060272
1.427500792,0.196391602,0.003442841,9.806407471
1.437473792,0.188308411,-0.012124786,9.801018677
1.447446792,0.192050629,-0.016914825,9.804012451
1.457418792,0.201331329,-0.006286926,9.818083191
1.467391792,0.191302185,0.001945953,9.801318054
1.477364792,0.194894714,-0.008083191,9.781259766
1.487336542,0.203277283,-0.013022919,9.805209961
1.497309542,0.19190094,-0.003293152,9.796228638
1.507282542,0.196990356,-0.008532257,9.80176712
1.517255542,0.220341797,-0.002095642,9.804461517
1.527227542,0.209713898,0.005987549,9.806257782
1.537200542,0.204923859,-0.010328522,9.802216187
1.547173542,0.20477417,-0.007933502,9.786349182
1.557145542,0.210162964,-0.011975098,9.785001984
1.567118542,0.196690979,-0.006286926,9.77961319
1.577091542,0.203426971,-0.014370117,9.782906342
1.587064542,0.196391602,-0.021555176,9.786349182
1.597036542,0.221389618,-0.009580078,9.785750427
1.607009542,0.220192108,-0.011526031,9.780062256
1.616982542,0.23052063,0.00239502,9.785900116
1.626954542,0.227975922,-0.020357666,9.771979065
1.636927542,0.206271057,-0.025596771,9.762249298
1.646900542,0.18726059,-0.01287323,9.762249298
1.656873542,0.211659851,-0.029788055,9.77138031
1.666845542,0.229622498,-0.016914825,9.753267975
1.676818542,0.216300201,-0.030087433,9.760752411
1.686791542,0.219593353,-0.041164398,9.767937469
1.696763542,0.218395844,-0.024249573,9.77377533
1.706736542,0.203426971,-0.023650818,9.762099609
1.716709542,0.222736816,-0.039966888,9.763746185
1.726681542,0.217348022,-0.038769379,9.773326263
1.736654542,0.209713898,-0.034129028,9.762249298
1.746627542,0.22109024,-0.024099884,9.770332489
1.756600542,0.206869812,-0.024099884,9.767039337
1.766572542,0.21061203,-0.024249573,9.75386673
1.776545542,0.208366699,-0.014519806,9.755662994
1.786518542,0.199684753,-0.019160156,9.743388519
1.796490542,0.218395844,-0.030686188,9.74683136
1.806463542,0.221539307,-0.028590546,9.74563385
1.816436542,0.23171814,-0.025896149,9.769883423
1.826409542,0.224084015,-0.028141479,9.769134979
