Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-0.000157417,-0.751736755,0.020207977,9.853559418
0.009815583,-0.743653564,0.021704865,9.64504303
0.019787583,-0.720302124,0.023950195,9.830357666
0.029760583,-0.768202515,0.020657043,9.709558868
0.039733583,-0.751287689,0.024249573,9.760303345
0.049705583,-0.750090179,0.022453308,9.778565369
0.059678583,-0.753982086,0.025896149,9.730664978
0.069651583,-0.73242691,0.023052063,9.805509338
0.079623583,-0.755478973,0.019758911,9.733359375
0.089596583,-0.747545471,0.019309845,9.773026886
0.099569583,-0.757125549,0.027093658,9.768236847
0.109541583,-0.747395782,0.021704865,9.756561127
0.119514583,-0.746647339,0.024698639,9.74443634
0.129487583,-0.760867767,0.020657043,9.729018402
0.139459583,-0.75353302,0.022303619,9.764943695
0.149432583,-0.768352203,0.020207977,9.744286652
0.159404583,-0.774190063,0.020207977,9.734257507
0.169377583,-0.763711853,0.02574646,9.741891632
0.179350583,-0.747545471,0.010777588,9.754615173
0.189322583,-0.734971619,0.010627899,9.74683136
0.199295583,-0.74305481,0.022453308,9.754465485
0.209268583,-0.754431152,0.024998016,9.756860504
0.219240583,-0.752036133,0.027093658,9.752818909
0.229213583,-0.756377106,0.026794281,9.763746185
0.239186583,-0.73018158,0.020956421,9.750573578
0.249158583,-0.717158661,0.024399261,9.764195251
0.259131583,-0.742006989,0.025596771,9.765093384
0.269103583,-0.780327301,0.027542725,9.764644318
0.279076583,-0.774190063,0.022303619,9.762698364
0.289049583,-0.779878235,0.024249573,9.757159882
0.299021583,-0.751437378,0.027393036,9.758058014
0.308994583,-0.743204498,0.025297394,9.74563385
0.318967583,-0.741408234,0.024399261,9.75506424
0.328939583,-0.756526794,0.028291168,9.73515564
0.338912583,-0.775686951,0.020507355,9.730664978
0.348885583,-0.78047699,0.019459534,9.731413422
0.358857583,-0.771196289,0.024099884,9.736802216
0.368830583,-0.774938507,0.020657043,9.746232605
0.378803583,-0.745000763,0.016914825,9.745334473
0.388775583,-0.749491425,0.015867004,9.751621399
0.398748583,-0.764310608,0.016914825,9.741143188
0.408720583,-0.757424927,0.021854553,9.748477936
0.418693583,-0.743803253,0.027243347,9.780211945
0.428666583,-0.728085938,0.02110611,9.741741943
0.438638583,-0.749790802,0.010029144,9.75266922
0.448611583,-0.759221191,0.000598755,9.773176575
0.458584583,-0.777932281,0.029488678,9.746981049
0.468556583,-0.764759674,0.012424164,9.760453033
0.478529583,-0.7617659,0.018411713,9.803264008
