"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.675583333E-2,-4.812492371E-1,1.466949463E-2,9.944719849E0
1.264168333E-1,-1.695075073E0,-1.706451416E-2,1.081680634E1
2.261078333E-1,-6.303392029E-1,1.374142456E-1,9.714498596E0
3.257999167E-1,-5.237608337E-1,1.193019104E-1,9.876312103E0
4.254909167E-1,-5.022056580E-1,8.906478882E-2,9.825717316E0
5.251819167E-1,-4.629872131E-1,6.661148071E-2,9.818981323E0
6.248739167E-1,-4.785548401E-1,7.214996338E-2,9.837842102E0
7.245649167E-1,-5.725593567E-1,-7.035369873E-3,9.824370117E0
8.242569167E-1,-4.629872131E-1,6.750961304E-2,9.789642334E0
9.239479167E-1,-5.008584595E-1,5.568420410E-2,9.869426422E0
1.023638917E0,-4.498146057E-1,5.209167480E-2,9.818981323E0
1.123330917E0,-4.095483398E-1,3.906875610E-2,9.822573853E0
1.223021917E0,-4.442761230E-1,7.035369873E-2,9.809700623E0
1.322713333E0,-4.634362793E-1,6.631210327E-2,9.833800507E0
1.422405333E0,-4.638853455E-1,6.885681152E-2,9.834249573E0
1.522096333E0,-4.385879517E-1,5.523513794E-2,9.818232880E0
1.621788333E0,-4.805007935E-1,6.062393188E-2,9.828860779E0
1.721479333E0,-4.876858521E-1,6.706054688E-2,9.811945953E0
1.821170333E0,-4.697232056E-1,6.182144165E-2,9.842033386E0
1.920862333E0,-4.481680298E-1,6.541397095E-2,9.840686188E0
2.020553333E0,-4.727169800E-1,4.924758911E-2,9.834998016E0
2.120244333E0,-4.680766296E-1,4.954696655E-2,9.810299377E0
2.219936333E0,-4.511618042E-1,4.864883423E-2,9.833650818E0
2.319627292E0,-4.613406372E-1,5.209167480E-2,9.831255798E0
2.419318292E0,-4.498146057E-1,5.837860107E-2,9.860445099E0
2.519010292E0,-4.668791199E-1,6.481521606E-2,9.820178833E0
2.618701292E0,-4.294569397E-1,3.847000122E-2,9.828411713E0
2.718393292E0,-4.608915710E-1,5.164260864E-2,9.812095642E0
2.818084292E0,-3.498225403E-1,3.817062378E-2,1.001672012E1
2.917775292E0,-2.282752991E-1,5.763015747E-2,9.676178284E0
3.017467292E0,-8.238867188E-1,7.259902954E-2,9.905202026E0
3.117158292E0,-6.023474121E-1,6.825805664E-2,9.740993500E0
3.216850292E0,-4.405339050E-1,6.526428223E-2,9.876162415E0
3.316541583E0,-4.089495850E-1,5.763015747E-2,9.915530548E0
3.416232583E0,-3.454815674E-1,1.212478638E-2,9.813742218E0
3.515924583E0,-5.101391602E-1,7.694000244E-2,9.841434631E0
3.615615583E0,-4.824467468E-1,8.816665649E-2,9.839338989E0
3.715306583E0,-2.902464294E-1,4.011657715E-2,9.802066498E0
3.814998583E0,-4.451742554E-1,4.056564331E-2,9.799222412E0
3.914689583E0,-4.155358887E-1,4.999603271E-2,9.858798523E0
4.014381583E0,-3.680845642E-1,4.146377563E-2,9.848769379E0
4.114072583E0,-4.240681458E-1,7.319778442E-2,9.774823151E0
4.213763583E0,-4.644841003E-1,1.646575928E-3,9.791139221E0
4.313455792E0,-2.068698120E-1,3.173400879E-2,9.844727783E0
4.413146792E0,-5.650749207E-1,1.314266968E-1,9.783505096E0
4.512838792E0,-4.343966675E-1,5.298980713E-2,9.843679962E0
4.612529792E0,-5.143304443E-1,4.565505981E-2,9.813293152E0
4.712220792E0,-3.996688843E-1,4.834945679E-2,9.803264008E0
4.811912792E0,-5.243595886E-1,7.454498291E-2,9.799372101E0
4.911603792E0,-5.430706787E-1,1.094224548E-1,9.816137238E0
5.011295792E0,-4.174818420E-1,5.658233643E-2,9.750573578E0
5.110986792E0,-4.037104797E-1,3.502716064E-2,9.909393311E0
5.210677792E0,-4.564009094E-1,4.206253052E-2,9.758956146E0
5.310369292E0,-4.421804810E-1,4.116439819E-2,9.831255798E0
5.410060292E0,-4.243675232E-1,5.942642212E-2,9.844428406E0
5.509752292E0,-5.114863586E-1,4.430786133E-2,9.818981323E0
5.609443292E0,-3.049159241E-1,3.098556519E-2,9.862391052E0
5.709134292E0,-9.565109253E-1,2.200424194E-2,9.837093658E0
5.808826292E0,-3.944297791E-1,-2.993774414E-2,9.876162415E0
5.908517292E0,-8.361611938E-1,8.607101440E-2,9.753717041E0
6.008209292E0,-3.255729675E-1,5.523513794E-2,9.821526031E0
6.107900292E0,-4.342469788E-1,4.505630493E-2,9.862540741E0
6.207592292E0,-4.538562012E-1,6.137237549E-2,9.848919067E0
6.307283417E0,-4.692741394E-1,5.418731689E-2,9.855056305E0
6.406975417E0,-4.685256958E-1,5.957611084E-2,9.823921051E0
6.506666417E0,-4.858895874E-1,4.834945679E-2,9.825118561E0
6.606357417E0,-4.575984192E-1,4.161346436E-2,9.853409729E0
6.706049417E0,-4.614903259E-1,4.281097412E-2,9.848619690E0
6.805740417E0,-4.575984192E-1,6.900650024E-2,9.831405487E0
6.905432417E0,-4.963677979E-1,4.625381470E-2,9.843230896E0
7.005123417E0,-4.689747620E-1,6.301895142E-2,9.817484436E0
7.104815417E0,-4.728666687E-1,4.071533203E-2,9.804461517E0
7.204506417E0,-4.483177185E-1,6.391708374E-2,9.842183075E0
7.304197833E0,-4.691244507E-1,6.092330933E-2,9.807455292E0
7.403889833E0,-4.460723877E-1,5.927673340E-2,9.818532257E0
7.503580833E0,-4.565505981E-1,3.832031250E-2,9.823921051E0
7.603272833E0,-4.339476013E-1,6.975494385E-2,9.803264008E0
7.702963833E0,-4.634362793E-1,5.882766724E-2,9.817334747E0
7.802655833E0,-4.418811035E-1,5.209167480E-2,9.840835876E0
7.902346833E0,-4.628375244E-1,5.553451538E-2,9.818232880E0
8.002038833E0,-4.459226990E-1,6.721023560E-2,9.828860779E0
8.101729833E0,-4.661306763E-1,6.511459351E-2,9.841883698E0
8.201421833E0,-4.466711426E-1,4.131408691E-2,9.833650818E0
8.301113417E0,-4.640350342E-1,4.849914551E-2,9.820627899E0
8.400805417E0,-4.879852295E-1,5.358856201E-2,9.844278717E0
8.500497417E0,-4.812492371E-1,6.825805664E-2,9.829459534E0
8.600188417E0,-4.878355408E-1,5.927673340E-2,9.817484436E0
8.699880417E0,-4.918771362E-1,5.403762817E-2,9.837542725E0
8.799571417E0,-4.863386536E-1,5.912704468E-2,9.829459534E0
8.899263417E0,-4.854405212E-1,5.673202515E-2,9.818382568E0
