"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.278624986E-3,-1.223405914E0,2.692301331E0,9.148675232E0,9.614752570E0
1.127862500E-2,-1.481768646E0,2.995870056E0,9.415869598E0,9.991470163E0
2.127762500E-2,-1.797312469E0,3.140469360E0,9.564360809E0,1.022594140E1
3.127662500E-2,-1.930984497E0,3.156785431E0,9.371412048E0,1.007558232E1
4.127662501E-2,-1.836530914E0,3.050057373E0,9.372010803E0,1.002548165E1
5.127562501E-2,-1.575024719E0,2.930156708E0,9.630523224E0,1.018889095E1
6.127562502E-2,-1.373094635E0,2.750380554E0,9.694589996E0,1.017030271E1
7.127462502E-2,-1.107995911E0,2.444416809E0,9.442514191E0,9.816511739E0
8.127362502E-2,-6.947053528E-1,2.190844116E0,9.184600525E0,9.467803350E0
9.127362503E-2,-5.153782654E-1,2.215243378E0,9.236392822E0,9.512301002E0
1.012726250E-1,-5.890251160E-1,2.392624512E0,9.399403839E0,9.717015754E0
1.112716250E-1,-7.295828247E-1,2.428849182E0,9.494755554E0,9.827613265E0
1.212716250E-1,-8.449928284E-1,2.407593384E0,9.556427307E0,9.891199202E0
1.312706250E-1,-9.963281250E-1,2.519859924E0,9.647587738E0,1.002089382E1
1.412696250E-1,-1.083147583E0,2.574945374E0,9.706864471E0,1.010083018E1
1.512696250E-1,-1.096918945E0,2.405497742E0,9.919572144E0,1.026584444E1
1.612686250E-1,-9.547146606E-1,2.333796844E0,1.011192215E1,1.042156693E1
1.712686250E-1,-8.289761353E-1,2.320324860E0,9.884694672E0,1.018716338E1
1.812676250E-1,-7.839198303E-1,2.257006531E0,9.588909760E0,9.882094877E0
1.912666250E-1,-5.050497437E-1,2.034868469E0,9.766141205E0,9.988657516E0
2.012666250E-1,-4.082011414E-1,1.964963837E0,9.822723541E0,1.002564755E1
2.112656250E-1,-5.278024292E-1,2.170785828E0,9.609866180E0,9.866124595E0
2.212646250E-1,-6.725514221E-1,2.324067078E0,9.302555237E0,9.612031374E0
2.312646250E-1,-9.542655945E-1,2.462828522E0,9.324858856E0,9.691704692E0
2.412636250E-1,-1.201701050E0,2.596799927E0,9.622739410E0,1.003915181E1
2.512636250E-1,-1.274449768E0,2.583477631E0,9.636660461E0,1.005802186E1
2.612626250E-1,-1.289418640E0,2.507735138E0,9.509275360E0,9.918550994E0
