Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.010094458,-0.438288574,-0.09355545,10.11222153
0.020055458,-0.44233017,-0.223784637,10.5478157
0.030017458,-0.458047485,-0.043110352,9.78305603
0.039978458,-0.483045502,0.020058289,9.417665863
0.049939458,-0.475860443,-0.015717316,9.592053223
0.059901458,-0.430504761,-0.086220703,10.00654129
0.069862458,-0.455353088,-0.106278992,10.0236058
0.079824458,-0.462538147,-0.035326538,9.706714783
0.089785458,-0.482596436,-0.041613464,9.681417389
0.099747458,-0.483644257,-0.05852829,9.799372101
0.109708458,-0.446222076,-0.081430664,9.906100159
0.119669458,-0.455053711,-0.062270508,9.834848328
0.129631458,-0.435893555,-0.035176849,9.745184784
0.139592458,-0.451461182,-0.048648834,9.777517548
0.149554458,-0.460741882,-0.063617706,9.814191284
0.159515458,-0.473764801,-0.056582336,9.823771362
0.169477458,-0.459993439,-0.053887939,9.783205719
0.179438458,-0.43993515,-0.052989807,9.798473969
0.189399458,-0.463136902,-0.043858795,9.831255798
0.199361458,-0.452509003,-0.05613327,9.809101868
0.209322458,-0.461190948,-0.046702881,9.794881439
0.219284458,-0.455951843,-0.051792297,9.804611206
0.229245458,-0.446521454,-0.061821442,9.824519806
0.239207458,-0.453556824,-0.061522064,9.814340973
0.249168458,-0.468376007,-0.05852829,9.779014435
0.259129458,-0.444425812,-0.057181091,9.798923035
0.269091458,-0.440384216,-0.047601013,9.832902374
0.279052458,-0.437091064,-0.060174866,9.828262024
0.289014458,-0.456849976,-0.038020935,9.822274475
0.298975458,-0.433797913,-0.040266266,9.800120544
0.308937458,-0.44697052,-0.057181091,9.816286926
0.318898458,-0.450413361,-0.055684204,9.840985565
0.328859458,-0.459993439,-0.049996033,9.830507355
0.338821458,-0.458197174,-0.040565643,9.813742218
0.348782458,-0.455802155,-0.050145721,9.808952179
0.358744458,-0.446222076,-0.04685257,9.803413696
0.368705458,-0.442779236,-0.05149292,9.813891907
0.378667458,-0.456550598,-0.05852829,9.826316071
0.388628458,-0.442180481,-0.061522064,9.799970856
0.398589458,-0.461939392,-0.066611481,9.810598755
0.408551458,-0.453706512,-0.075143738,9.82047821
0.418512458,-0.452059937,-0.057779846,9.830806732
0.428474458,-0.436342621,-0.061072998,9.845027161
0.438435458,-0.463286591,-0.044607239,9.830956421
0.448397458,-0.456251221,-0.05269043,9.810598755
0.458358458,-0.44577301,-0.061222687,9.817634125
0.468319458,-0.457299042,-0.057181091,9.838141479
0.478281458,-0.449814606,-0.05493576,9.832004242
0.488242458,-0.436342621,-0.046702881,9.82871109
0.498204458,-0.468675385,-0.054187317,9.801467743
0.508165458,-0.456700287,-0.058677979,9.811347198
0.518127458,-0.448317719,-0.05852829,9.84038681
0.528088458,-0.458346863,-0.064665527,9.836195526
0.538049458,-0.464633789,-0.070503387,9.825717316
0.548011458,-0.460741882,-0.063917084,9.807904358
0.557972458,-0.459694061,-0.072898407,9.809700623
0.567934458,-0.454454956,-0.060923309,9.827663269
0.577895458,-0.451461182,-0.058677979,9.819729767
0.587857458,-0.439486084,-0.0490979,9.821376343
0.597818458,-0.458047485,-0.07604187,9.796528015
0.607779458,-0.46223877,-0.065264282,9.797426147
0.617741458,-0.465232544,-0.057630157,9.808054047
0.627702458,-0.468226318,-0.060623932,9.810449066
0.637664458,-0.455353088,-0.072449341,9.799671478
0.647625958,-0.429307251,-0.059875488,9.793833618
0.657587958,-0.453856201,-0.073796539,9.78305603
0.667548958,-0.443078613,-0.068108368,9.79832428
0.677510958,-0.437390442,-0.06436615,9.823022919
0.687471958,-0.43993515,-0.074395294,9.792336731
0.697432958,-0.463286591,-0.065413971,9.789792023
0.707394958,-0.468226318,-0.050445099,9.772877197
0.717355958,-0.454754333,-0.055235138,9.779463501
0.727317958,-0.445623322,-0.057779846,9.801318054
0.737278958,-0.449814606,-0.064665527,9.77841568
0.747240958,-0.442030792,-0.048349457,9.788145447
0.757201958,-0.453556824,-0.053289185,9.787097626
0.767162958,-0.460741882,-0.073347473,9.782307587
0.777124958,-0.453407135,-0.064815216,9.80880249
0.787085958,-0.4445755,-0.05852829,9.806557159
0.797047958,-0.448467407,-0.050744476,9.757010193
0.807008958,-0.452509003,-0.057181091,9.782008209
0.816970958,-0.457149353,-0.050445099,9.783804474
0.826931958,-0.44816803,-0.066312103,9.804611206
0.836892958,-0.448467407,-0.056732025,9.812844086
0.846854958,-0.458945618,-0.053289185,9.796677704
0.856815958,-0.456101532,-0.055384827,9.787846069
0.866777958,-0.475261688,-0.04565506,9.792636108
0.876738958,-0.476459198,-0.04685257,9.829010468
0.886700958,-0.446222076,-0.052241364,9.834399261
0.896661958,-0.467477875,-0.062420197,9.827812958
0.906622958,-0.4644841,-0.047002258,9.827363892
0.916584958,-0.465831299,-0.056582336,9.825867004
0.926545958,-0.446222076,-0.063767395,9.825717316
0.936507958,-0.448317719,-0.056881714,9.816286926
0.946468958,-0.448766785,-0.048798523,9.806407471
0.956430958,-0.447868652,-0.067359924,9.82526825
0.966391958,-0.460891571,-0.061821442,9.816885681
0.976353958,-0.46807663,-0.057031403,9.824968872
0.986314958,-0.451012115,-0.057031403,9.84278183
0.996275958,-0.440234528,-0.06316864,9.83574646
1.006237958,-0.453856201,-0.057779846,9.820927277
1.016198958,-0.45400589,-0.058677979,9.839488678
1.026160958,-0.450712738,-0.055684204,9.838440857
1.036121958,-0.453556824,-0.067659302,9.835596771
1.046083958,-0.470022583,-0.062719574,9.830058289
1.056044958,-0.460592194,-0.042361908,9.821076965
1.066005958,-0.458496552,-0.043858795,9.823172607
1.075967958,-0.45864624,-0.048349457,9.840835876
1.085928958,-0.459394684,-0.047301636,9.835447083
1.095890958,-0.467477875,-0.046253815,9.809550934
1.105851958,-0.455802155,-0.06780899,9.811047821
1.115813958,-0.456700287,-0.061522064,9.820627899
1.125774958,-0.463735657,-0.065264282,9.813293152
1.135736958,-0.449664917,-0.057480469,9.803114319
1.145697958,-0.455053711,-0.059576111,9.809251556
1.155658958,-0.472417603,-0.047451324,9.795330505
1.165620958,-0.446671143,-0.059576111,9.793085175
1.175581958,-0.456849976,-0.061522064,9.818083191
1.185543958,-0.458346863,-0.05269043,9.813891907
1.195504958,-0.46104126,-0.051642609,9.801916809
1.205466958,-0.461490326,-0.051193542,9.790989532
1.215427958,-0.4445755,-0.059576111,9.780511322
1.225389958,-0.454904022,-0.055384827,9.795779572
1.235350958,-0.472267914,-0.055235138,9.795031128
1.245311958,-0.445623322,-0.056732025,9.798623657
1.255273958,-0.451161804,-0.043858795,9.788594513
1.265234958,-0.453856201,-0.063617706,9.782008209
1.275196958,-0.463436279,-0.0597258,9.782457275
1.285157958,-0.459993439,-0.049696655,9.785301361
1.295119958,-0.451012115,-0.055384827,9.788295135
1.305080958,-0.45280838,-0.066312103,9.758806458
1.315041958,-0.453556824,-0.049846344,9.778565369
1.325003958,-0.46687912,-0.048199768,9.790540466
1.334964958,-0.444425812,-0.05149292,9.796528015
1.344926958,-0.444874878,-0.054337006,9.801018677
1.354887958,-0.452059937,-0.041912842,9.77961319
1.364849958,-0.473315735,-0.046702881,9.776170349
1.374810958,-0.469124451,-0.056582336,9.784702606
1.384772958,-0.462687836,-0.068407745,9.789941711
1.394733958,-0.451161804,-0.062869263,9.779912567
1.404694958,-0.46568161,-0.057630157,9.771979065
1.414656958,-0.462388458,-0.061072998,9.761650543
1.424617958,-0.436043243,-0.05733078,9.788744202
1.434579958,-0.443976746,-0.052241364,9.814790039
1.444540958,-0.448916473,-0.053887939,9.798473969
1.454502958,-0.459993439,-0.05613327,9.800868988
1.464463958,-0.462538147,-0.058677979,9.794132996
1.474425958,-0.447569275,-0.06556366,9.799821167
1.484386958,-0.448617096,-0.062569885,9.823022919
1.494347958,-0.466280365,-0.061821442,9.819879456
1.504309958,-0.458496552,-0.063617706,9.792187042
1.514270958,-0.459993439,-0.061222687,9.793384552
1.524232958,-0.439037018,-0.064815216,9.82287323
1.534193958,-0.447868652,-0.075742493,9.835297394
1.544155958,-0.460592194,-0.072149963,9.83335144
1.554116958,-0.457598419,-0.055833893,9.813891907
1.564078958,-0.441581726,-0.052840118,9.800419922
1.574039958,-0.4552034,-0.056881714,9.830657043
1.584000958,-0.439785461,-0.050145721,9.852810974
1.593962958,-0.465082855,-0.06197113,9.855056305
1.603923958,-0.463735657,-0.067509613,9.830657043
1.613885958,-0.432600403,-0.065114594,9.818382568
1.623846958,-0.448766785,-0.051043854,9.847272491
1.633808958,-0.44936554,-0.0597258,9.854756927
1.643769958,-0.447419586,-0.059875488,9.844877472
1.653731125,-0.43649231,-0.057630157,9.826316071
1.663692125,-0.447718964,-0.047451324,9.822124786
1.673654125,-0.481847992,-0.055833893,9.846524048
1.683615125,-0.459694061,-0.0597258,9.85565506
1.693576125,-0.463286591,-0.051343231,9.857451324
1.703538125,-0.452509003,-0.054337006,9.838291168
1.713499125,-0.456550598,-0.054786072,9.809700623
1.723461125,-0.469124451,-0.056732025,9.82407074
1.733422125,-0.459544373,-0.07140152,9.845625916
1.743384125,-0.440234528,-0.061522064,9.825717316
1.753345125,-0.456700287,-0.051941986,9.81239502
1.763307125,-0.452509003,-0.069305878,9.814939728
1.773268125,-0.4552034,-0.055384827,9.803264008
1.783229125,-0.43993515,-0.05733078,9.806108093
1.793191125,-0.452359314,-0.062719574,9.81119751
1.803152125,-0.442779236,-0.049247589,9.805060272
1.813114125,-0.471369781,-0.047451324,9.790839844
1.823075125,-0.45864624,-0.065413971,9.791588287
1.833037125,-0.452359314,-0.042810974,9.799072723
1.842998125,-0.451910248,-0.058677979,9.792935486
1.852960125,-0.454305267,-0.05269043,9.787846069
1.862921125,-0.462538147,-0.058977356,9.781409454
1.872882125,-0.459993439,-0.05852829,9.782157898
1.882844125,-0.457897797,-0.052540741,9.785750427
1.892805125,-0.459394684,-0.059875488,9.788444824
1.902767125,-0.454604645,-0.058378601,9.79592926
1.912728125,-0.466729431,-0.058378601,9.762698364
1.922690125,-0.460143127,-0.066312103,9.778565369
1.932651125,-0.457598419,-0.063917084,9.782457275
1.942613125,-0.445174255,-0.069156189,9.77961319
1.952574125,-0.463136902,-0.064515839,9.78425354
1.962536125,-0.464783478,-0.056881714,9.783205719
1.972497125,-0.455353088,-0.055534515,9.786049805
1.982458125,-0.43649231,-0.066461792,9.796528015
1.992420125,-0.462089081,-0.069605255,9.816286926
2.002381125,-0.471369781,-0.065863037,9.796228638
2.012343125,-0.45280838,-0.064665527,9.795330505
2.022304125,-0.473166046,-0.060773621,9.7900914
2.032266125,-0.474064178,-0.056432648,9.801916809
2.042227125,-0.457299042,-0.067210236,9.832752686
2.052189125,-0.457748108,-0.082029419,9.818831635
2.062150125,-0.455353088,-0.060474243,9.807455292
2.072111125,-0.474213867,-0.069605255,9.804311829
2.082073125,-0.478255463,-0.067659302,9.817933502
2.092034125,-0.47032196,-0.07140152,9.818981323
2.101996125,-0.454604645,-0.070054321,9.814340973
2.111957125,-0.467926941,-0.063767395,9.808652802
2.121919125,-0.467926941,-0.062270508,9.802216187
2.131880125,-0.455053711,-0.064665527,9.828561401
2.141842125,-0.467178497,-0.052241364,9.847122803
2.151803125,-0.471220093,-0.068856812,9.829160156
2.161765125,-0.46568161,-0.055534515,9.809401245
2.171726125,-0.468376007,-0.056582336,9.812694397
2.181687125,-0.459993439,-0.044607239,9.820029144
2.191649125,-0.458047485,-0.05269043,9.826316071
2.201610125,-0.46807663,-0.056732025,9.827363892
2.211572125,-0.464334412,-0.049397278,9.82407074
2.221533125,-0.468675385,-0.025147705,9.820328522
2.231495125,-0.458197174,-0.042960663,9.82751358
2.241456125,-0.453107758,-0.050894165,9.837842102
2.251418125,-0.43873764,-0.039068756,9.840237122
2.261379125,-0.445623322,-0.052989807,9.80535965
2.271340125,-0.44816803,-0.040865021,9.808054047
2.281302125,-0.463735657,-0.046253815,9.811347198
2.291263125,-0.443377991,-0.038769379,9.833950195
2.301225125,-0.4153862,-0.051642609,9.83110611
2.311186125,-0.438887329,-0.0597258,9.826465759
2.321148125,-0.466729431,-0.054636383,9.809101868
2.331109125,-0.42825943,-0.044756927,9.801916809
2.341071125,-0.417481842,-0.054786072,9.808054047
2.351032125,-0.444276123,-0.045056305,9.800719299
2.360994125,-0.423469391,-0.046253815,9.789193268
2.370955125,-0.439186707,-0.042212219,9.770931244
2.380916125,-0.433049469,-0.048798523,9.801916809
2.390878125,-0.420774994,-0.055384827,9.826166382
2.400839125,-0.43649231,-0.046702881,9.812095642
2.410801125,-0.4445755,-0.053887939,9.809700623
2.420762125,-0.448317719,-0.055235138,9.786049805
2.430724125,-0.430804138,-0.045804749,9.781259766
2.440685125,-0.44233017,-0.039667511,9.805209961
2.450647125,-0.439785461,-0.052540741,9.799222412
2.460608125,-0.430504761,-0.05029541,9.803264008
2.470570125,-0.440084839,-0.053289185,9.793683929
2.480531125,-0.443228302,-0.05029541,9.807155914
2.490492125,-0.44936554,-0.0690065,9.828112335
2.500454125,-0.440533905,-0.058228912,9.822424164
