"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.577250019E-3,-6.337670746E0,5.231770477E0,6.623576202E0
1.212252500E-1,-5.077142029E0,6.087540894E0,5.247787170E0
2.209312500E-1,-4.978048096E0,5.822891235E0,5.070406036E0
3.206382500E-1,-2.249372406E0,3.778442688E0,4.305496674E0
4.203443333E-1,-1.216819611E0,1.585203552E0,1.243030106E1
5.200513334E-1,-7.204518127E-1,8.101602631E0,7.741152191E0
6.197573333E-1,1.876198425E0,8.385113068E0,1.262699203E1
7.194643333E-1,-4.459676056E0,1.167856430E1,4.265679474E0
8.191703334E-1,-7.598947906E0,-1.872755585E0,9.801916809E0
9.188773333E-1,-2.108066254E0,-6.874304810E0,6.709946594E0
1.018584333E0,1.343890366E1,1.717229004E0,4.031266937E0
1.118290333E0,2.168690186E0,2.165995789E0,2.186862396E1
1.217997333E0,4.939129028E0,3.208128662E0,4.125720520E0
1.317703333E0,-1.409468994E0,-5.442681885E-1,9.393865356E0
1.417410083E0,-2.020049286E0,1.112935638E0,9.185049591E0
1.517117083E0,-3.475023651E0,-2.061363373E0,6.026617584E0
1.616823083E0,-1.498234406E0,1.444945221E0,2.163900146E0
1.716530083E0,2.952759705E0,3.338806915E0,8.747359772E0
1.816237083E0,-9.864486694E-2,-8.337661743E-2,8.861272888E0
1.915944083E0,-3.465293884E-1,2.125579834E-2,9.825118561E0
2.015650083E0,-3.820056152E-1,-5.658233643E-2,9.832902374E0
2.115357083E0,-3.829037476E-1,2.454895020E-2,9.805958405E0
2.215064083E0,-3.972738647E-1,1.392105103E-2,9.789492645E0
2.314770083E0,-3.959266663E-1,2.709365845E-2,9.793234863E0
2.414477333E0,-3.279679871E-1,2.769241333E-2,9.814041595E0
2.514184333E0,-4.185296631E-1,3.218307495E-2,9.784702606E0
2.613891333E0,-3.083587646E-1,7.768844604E-2,9.816885681E0
2.713597333E0,-3.445834351E-1,1.407073975E-2,9.781559143E0
2.813304333E0,-5.074447632E-1,1.571731567E-2,9.783804474E0
2.913011333E0,-4.334985352E-1,2.739303589E-2,9.804760895E0
3.012718333E0,-3.811074829E-1,2.649490356E-2,9.805209961E0
3.112424333E0,-4.631369019E-1,1.975891113E-2,9.806706848E0
3.212131333E0,-3.855981445E-1,3.397933960E-2,9.826465759E0
3.311838333E0,-3.635939026E-1,1.496887207E-2,9.800419922E0
3.411544833E0,-4.149371338E-1,2.993774414E-4,9.799222412E0
3.511250833E0,-3.960763550E-1,2.200424194E-2,9.783654785E0
3.610957833E0,-3.332070923E-1,3.053649902E-2,9.801168365E0
3.710664833E0,-4.082011414E-1,2.574645996E-2,9.839039612E0
3.810370833E0,-3.498225403E-1,2.439926147E-2,9.848020935E0
3.910077833E0,-3.553610229E-1,2.230361938E-2,9.854008484E0
4.009784833E0,-3.887416077E-1,2.230361938E-2,9.789642334E0
4.109491833E0,-4.001179504E-1,1.362167358E-2,9.774523773E0
4.209197833E0,-3.784130859E-1,2.664459229E-2,9.785151672E0
4.308904833E0,-4.185296631E-1,1.856140137E-2,9.793234863E0
4.408611875E0,-4.239184570E-1,2.709365845E-2,9.802665253E0
4.508318875E0,-4.300556946E-1,2.634521484E-2,9.799372101E0
4.608024875E0,-4.111949158E-1,2.799179077E-2,9.790241089E0
4.707731875E0,-4.523593140E-1,2.170486450E-2,9.793234863E0
4.807438875E0,-4.008663940E-1,2.185455322E-2,9.768835602E0
4.907145875E0,-4.219725037E-1,2.305206299E-2,9.772577820E0
5.006851875E0,-3.745211792E-1,2.305206299E-2,9.804012451E0
5.106558875E0,-3.875440979E-1,2.559677124E-2,9.845027161E0
5.206265875E0,-3.643423462E-1,1.886077881E-2,9.854607239E0
5.305972875E0,-3.700305176E-1,2.110610962E-2,9.839638367E0
5.405679208E0,-3.634442139E-1,2.380050659E-2,9.799671478E0
5.505386208E0,-3.767665100E-1,1.930984497E-2,9.809850311E0
5.605093208E0,-3.553610229E-1,1.796264648E-2,9.819131012E0
5.704799208E0,-3.832031250E-1,2.709365845E-2,9.822124786E0
5.804506208E0,-3.953279114E-1,2.320175171E-2,9.821076965E0
5.904213208E0,-4.119433594E-1,2.514770508E-2,9.801168365E0
6.003919208E0,-4.194277954E-1,2.619552612E-2,9.770931244E0
6.103626208E0,-4.300556946E-1,3.218307495E-2,9.784702606E0
6.203333208E0,-4.339476013E-1,2.125579834E-2,9.798324280E0
6.303039208E0,-4.432283020E-1,2.664459229E-2,9.791588287E0
6.402746333E0,-4.276606750E-1,1.242416382E-2,9.798923035E0
6.502453333E0,-3.411405945E-1,2.454895020E-2,9.847272491E0
6.602159333E0,-4.119433594E-1,1.871109009E-2,9.794881439E0
6.701866333E0,-3.858975220E-1,2.903961182E-2,9.793983307E0
6.801573333E0,-4.129911804E-1,2.215393066E-2,9.833950195E0
6.901279333E0,-3.668870544E-1,9.879455566E-3,9.864636383E0
7.000986333E0,-3.974235535E-1,1.317260742E-2,9.815538483E0
7.100692333E0,-3.622467041E-1,1.945953369E-2,9.795180817E0
7.200399333E0,-3.832031250E-1,2.589614868E-2,9.797126770E0
7.300106333E0,-3.848497009E-1,3.367996216E-2,9.789492645E0
7.399812333E0,-4.059558105E-1,2.125579834E-2,9.843380585E0
7.499519458E0,-4.019142151E-1,1.871109009E-2,9.828262024E0
7.599225458E0,-4.198768616E-1,2.380050659E-2,9.811047821E0
7.698932458E0,-4.019142151E-1,2.664459229E-2,9.775870972E0
7.798638458E0,-4.378395081E-1,1.032852173E-2,9.762548676E0
7.898345458E0,-4.293072510E-1,2.200424194E-2,9.772428131E0
7.998051458E0,-4.234693909E-1,1.002914429E-2,9.806706848E0
8.097758458E0,-3.998185730E-1,2.035766602E-2,9.813891907E0
8.197465458E0,-4.170327759E-1,2.514770508E-2,9.798324280E0
8.297171458E0,-4.013154602E-1,1.856140137E-2,9.817035370E0
8.396878458E0,-4.050576782E-1,2.275268555E-2,9.792935486E0
8.496583625E0,-3.855981445E-1,2.005828857E-2,9.810149689E0
8.596289625E0,-3.824546814E-1,1.122665405E-2,9.808652802E0
8.695996625E0,-3.634442139E-1,2.903961182E-2,9.827064514E0
8.795702625E0,-3.734733582E-1,2.275268555E-2,9.821825409E0
8.895409625E0,-4.026626587E-1,2.559677124E-2,9.821226654E0
8.995115625E0,-3.784130859E-1,2.664459229E-2,9.821376343E0
9.144675625E0,-4.260140991E-1,2.724334717E-2,9.760453033E0
9.244381625E0,-4.080514526E-1,3.742218018E-3,9.782157898E0
9.344088625E0,-4.254153442E-1,1.526824951E-2,9.816735992E0
9.443795250E0,-4.095483398E-1,2.170486450E-2,9.835447083E0
9.543501250E0,-4.346960449E-1,2.739303589E-2,9.788145447E0
9.643208250E0,-4.114942932E-1,2.814147949E-2,9.780511322E0
